"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 18, 2019","294.95","298.75","299.85","294.25","9.08M","-0.82%"
"Jan 17, 2019","297.40","303.90","304.35","295.60","15.97M","-1.90%"
"Jan 16, 2019","303.15","303.00","306.65","302.10","12.11M","0.50%"
"Jan 15, 2019","301.65","302.00","303.60","301.10","9.44M","0.42%"
"Jan 14, 2019","300.40","301.00","303.60","299.55","10.37M","-0.78%"
"Jan 11, 2019","302.75","305.40","306.20","300.95","12.70M","-0.92%"
"Jan 10, 2019","305.55","305.10","307.50","303.50","16.30M","0.08%"
"Jan 09, 2019","305.30","306.00","307.10","300.75","21.11M","0.00%"
"Jan 08, 2019","305.30","295.80","306.00","294.75","22.95M","3.04%"
"Jan 07, 2019","296.30","301.05","301.50","295.20","14.58M","-0.45%"
"Jan 04, 2019","297.65","292.10","299.00","291.50","19.51M","2.25%"
"Jan 03, 2019","291.10","295.00","295.55","290.10","17.55M","-0.95%"
"Jan 02, 2019","293.90","299.10","302.50","293.10","25.56M","-1.90%"
"Jan 01, 2019","299.60","297.50","300.70","293.85","11.84M","1.25%"
"Dec 31, 2018","295.90","297.20","298.25","295.50","9.53M","0.37%"
"Dec 28, 2018","294.80","293.60","297.10","293.55","12.88M","0.91%"
"Dec 27, 2018","292.15","296.70","297.60","291.50","15.30M","-0.68%"
"Dec 26, 2018","294.15","292.85","295.00","287.15","12.68M","0.38%"
"Dec 24, 2018","293.05","293.50","295.00","290.15","12.05M","0.39%"
"Dec 21, 2018","291.90","293.65","296.50","290.80","15.78M","-0.73%"
"Dec 20, 2018","294.05","298.35","301.65","293.15","19.22M","-2.21%"
"Dec 19, 2018","300.70","294.70","302.00","294.70","26.12M","2.72%"
"Dec 18, 2018","292.75","287.85","294.00","287.00","13.61M","1.12%"
"Dec 17, 2018","289.50","289.30","291.45","287.30","12.73M","0.10%"
"Dec 14, 2018","289.20","288.50","290.80","287.05","12.16M","0.07%"
"Dec 13, 2018","289.00","290.00","294.00","285.75","24.10M","1.31%"
"Dec 12, 2018","285.25","283.75","285.85","282.20","21.77M","1.42%"
"Dec 11, 2018","281.25","268.35","283.25","268.35","30.93M","2.57%"
"Dec 10, 2018","274.20","271.00","276.40","270.15","11.95M","-0.44%"
"Dec 07, 2018","275.40","277.00","277.35","272.10","10.17M","-0.09%"
"Dec 06, 2018","275.65","278.00","279.25","275.10","11.08M","-1.61%"
"Dec 05, 2018","280.15","282.45","283.20","277.05","14.89M","-0.85%"
"Dec 04, 2018","282.55","287.95","287.95","281.90","11.90M","-1.48%"
"Dec 03, 2018","286.80","286.70","287.90","283.25","15.77M","0.76%"
"Nov 30, 2018","284.65","288.80","290.90","283.20","17.58M","-0.61%"
"Nov 29, 2018","286.40","289.30","289.65","284.25","27.92M","0.65%"
"Nov 28, 2018","284.55","289.40","292.45","283.00","19.84M","-1.68%"
"Nov 27, 2018","289.40","284.60","290.50","284.05","21.24M","1.05%"
"Nov 26, 2018","286.40","284.10","287.25","279.60","16.85M","1.31%"
"Nov 22, 2018","282.70","285.95","287.05","281.60","12.07M","-1.52%"
"Nov 21, 2018","287.05","283.45","289.55","283.05","16.17M","1.27%"
"Nov 20, 2018","283.45","285.90","288.55","282.50","12.90M","-1.63%"
"Nov 19, 2018","288.15","293.50","293.50","286.05","13.80M","-0.95%"
"Nov 16, 2018","290.90","285.90","291.80","282.60","24.81M","1.93%"
"Nov 15, 2018","285.40","283.85","287.05","281.15","18.45M","0.63%"
"Nov 14, 2018","283.60","280.40","287.70","278.00","52.67M","2.00%"
"Nov 13, 2018","278.05","276.30","279.70","273.35","25.63M","0.04%"
